Title,Price,Description,Reviews,Product URL,Scraped At
Asus VivoBook X441NA-GA190,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",14 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/60,2026-05-15 18:58:16
Prestigio SmartBook 133S Dark Grey,$299,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",8 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/61,2026-05-15 18:58:16
Prestigio SmartBook 133S Gold,$299,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",12 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/62,2026-05-15 18:58:16
Aspire E1-510,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/32,2026-05-15 18:58:16
Lenovo V110-15IAP,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",5 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/63,2026-05-15 18:58:16
Lenovo V110-15IAP,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",6 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/64,2026-05-15 18:58:16
Hewlett Packard 250 G6 Dark Ash Silver,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",12 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/65,2026-05-15 18:58:16
Acer Aspire 3 A315-31 Black,$372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/66,2026-05-15 18:58:16
Acer Aspire A315-31-C33J,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",0 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/67,2026-05-15 18:58:16
Acer Aspire ES1-572 Black,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",9 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/68,2026-05-15 18:58:16
Acer Aspire 3 A315-31 Black,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/69,2026-05-15 18:58:16
Acer Aspire 3 A315-21,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",9 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/70,2026-05-15 18:58:16
Asus VivoBook Max,$399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",4 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/45,2026-05-15 18:58:16
Asus VivoBook E502NA-GO022T Dark Blue,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",3 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/71,2026-05-15 18:58:16
Lenovo ThinkPad E31-80,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",12 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/72,2026-05-15 18:58:16
Acer Aspire 3 A315-31 Black,$408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/73,2026-05-15 18:58:16
Lenovo V110-15ISK,$409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",9 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/74,2026-05-15 18:58:16
Acer Aspire ES1-732 Black,$410.46,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",14 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/75,2026-05-15 18:58:16
Asus VivoBook 15 X540NA-GQ026T,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/76,2026-05-15 18:58:16
Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/31,2026-05-15 18:58:16
Asus EeeBook R416NA-FA014T,$433.3,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",1 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/77,2026-05-15 18:58:16
Acer Aspire 3 A315-51,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",1 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/78,2026-05-15 18:58:16
Acer Aspire ES1-572 Black,$436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",2 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/79,2026-05-15 18:58:16
Acer Extensa 15 (2540) Black,$439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",6 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/80,2026-05-15 18:58:16
Acer Aspire ES1-572 Black,$454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",9 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/81,2026-05-15 18:58:16
Lenovo V110-15ISK,$454.73,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",2 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/82,2026-05-15 18:58:16
