Title,Price_OLD,Description_OLD,Reviews_OLD,Product URL_OLD,Scraped At_OLD,Price_NEW,Description_NEW,Reviews_NEW,Product URL_NEW,Scraped At_NEW
Lenovo V110-15IAP,321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",5 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/63,2026-05-26 10:52:45,356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",6 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/64,2026-06-03 16:11:19
Lenovo V110-15IAP,356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",6 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/64,2026-05-26 10:52:45,321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",5 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/63,2026-06-03 16:11:19
Acer Aspire 3 A315-31 Black,372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/66,2026-05-26 10:52:45,391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/69,2026-06-03 16:11:19
Acer Aspire 3 A315-31 Black,372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/66,2026-05-26 10:52:45,408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/73,2026-06-03 16:11:19
Acer Aspire ES1-572 Black,379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",9 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/68,2026-05-26 10:52:45,436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",2 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/79,2026-06-03 16:11:19
Acer Aspire ES1-572 Black,379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",9 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/68,2026-05-26 10:52:45,454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",9 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/81,2026-06-03 16:11:19
Acer Aspire ES1-572 Black,379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",9 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/68,2026-05-26 10:52:45,469.1,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",5 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/86,2026-06-03 16:11:19
Acer Aspire ES1-572 Black,379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",9 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/68,2026-05-26 10:52:45,485.9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",6 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/88,2026-06-03 16:11:19
Acer Aspire 3 A315-31 Black,391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/69,2026-05-26 10:52:45,372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/66,2026-06-03 16:11:19
Acer Aspire 3 A315-31 Black,391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/69,2026-05-26 10:52:45,408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews,https://webscraper.io/test-sites/e-commerce/allinone/product/73,2026-06-03 16:11:19
